"Legajo","materia","cond_regularidad","nota"
7408,1,4,5
7419,1,5,8
7450,1,5,9.5
7452,1,5,9
7457,1,2,2
7457,1,4,7
7465,1,5,7
7467,1,4,5
7470,1,5,8.5
7488,1,2,2
7595,1,2,2
7595,1,2,2
7636,1,2,2
7636,1,2,2
7636,1,2,2
7646,1,2,2
7646,1,2,2
7686,1,2,2
7686,1,2,2
7686,1,5,7.5
7715,1,4,5.5
7716,1,5,10
7728,1,2,2
7728,1,2,2
7728,1,4,4
7753,1,2,2
7753,1,4,4
7778,1,1,2
7778,1,1,2
7795,1,2,2
7795,1,1,2
7854,1,2,2
7854,1,1,2
7874,1,1,2
7876,1,2,2
7876,1,2,2
7876,1,1,2
7883,1,2,2
7883,1,2,2
7883,1,1,2
7923,1,2,2
7923,1,1,2
7923,1,4,4.5
7408,2,5,7
7419,2,5,9
7450,2,5,8
7452,2,5,8.5
7457,2,2,1
7457,2,4,7
7465,2,5,8
7467,2,5,7.5
7470,2,5,8
7575,2,3,4
7595,2,2,3
7595,2,2,3
7636,2,2,1
7636,2,2,2
7636,2,2,2
7646,2,4,5
7685,2,2,3
7686,2,4,6
7715,2,4,5.5
7716,2,5,9.5
7728,2,2,2
7728,2,2,3
7728,2,1,2
7728,2,5,9.5
7753,2,2,3
7753,2,2,2
7778,2,5,8
7795,2,2,1.5
7795,2,4,6
7854,2,5,9
7870,2,2,1
7874,2,2,2
7876,2,2,1
7876,2,1,0
7876,2,2,2
7883,2,4,6
7923,2,2,3
7923,2,4,5
7408,4,5,7
7419,4,4,4.5
7450,4,5,9
7452,4,5,8
7457,4,4,6.5
7465,4,4,8
7467,4,5,8
7470,4,5,10
7595,4,2,2
7646,4,2,2
7646,4,1,2
7646,4,1,2
7686,4,2,2
7686,4,4,7
7715,4,2,2
7715,4,4,6
7716,4,5,7
7728,4,2,2
7728,4,4,6.5
7753,4,2,2
7753,4,1,2
7854,4,4,7.5
7874,4,2,2
7876,4,2,2
7883,4,2,2
7923,4,4,5.5
7408,5,4,8
7419,5,5,8.5
7450,5,5,9.5
7452,5,4,6.5
7457,5,2,2
7465,5,2,2
7465,5,4,10
7467,5,4,6.5
7470,5,5,8.5
7715,5,4,5.5
7716,5,5,8.5
7408,7,5,8
7419,7,4,6
7450,7,4,6
7452,7,4,7
7457,7,2,2
7465,7,4,7
7467,7,4,7
7470,7,4,8
7575,7,4,4.5
7686,7,4,5
7715,7,4,6
7716,7,4,9
7854,7,5,7.7
7883,7,4,6
7408,125,5,7.5
7419,125,4,4
7450,125,5,9
7452,125,5,7
7465,125,5,8.5
7467,125,5,8.5
7470,125,5,10
7575,125,4,4.5
7595,125,2,3
7646,125,4,5
7686,125,2,0
7686,125,2,1
7715,125,2,2.75
7715,125,4,5.25
7716,125,5,9
7728,125,4,4.5
7753,125,2,1
7854,125,2,0.5
7854,125,2,1
7923,125,2,0
7923,125,2,1
7408,127,5,10
7419,127,5,8
7450,127,5,9
7452,127,5,7
7457,127,4,5
7465,127,5,9
7467,127,5,9
7470,127,5,10
7575,127,5,8
7595,127,5,7
7686,127,2,2
7715,127,4,5
7716,127,5,10
7728,127,4,4
7753,127,4,5
7883,127,2,2
7408,145,5,8
7419,145,5,8
7450,145,5,8
7452,145,5,9
7457,145,5,9
7465,145,5,8
7467,145,5,10
7470,145,5,10
7595,145,5,9
7646,145,5,9
7715,145,4,6
7716,145,5,8
7728,145,5,7
7753,145,4,6
7778,145,5,8
7795,145,4,6
7854,145,5,7
7874,145,4,6
7883,145,5,8
7923,145,5,8
7408,193,4,9.3
7419,193,4,8.6
7450,193,4,10
7452,193,4,8.6
7457,193,4,4
7465,193,4,8.6
7467,193,4,10
7470,193,4,10
7488,193,4,7.9
7575,193,4,8.5
7595,193,4,5.7
7636,193,1,2
7646,193,4,6.4
7686,193,4,4
7715,193,4,9.3
7716,193,4,9.3
7728,193,4,7.2
7753,193,2,2
7753,193,2,2
7795,193,4,5
7854,193,4,8.5
7874,193,4,8.5
7876,193,2,2
7923,193,4,7.5
7415,1,2,2
7415,1,5,9
7437,1,5,9
7468,1,4,6.5
7480,1,4,6.5
7498,1,4,7.5
7582,1,2,2
7582,1,1,2
7587,1,2,2
7587,1,4,7.5
7648,1,5,9.5
7671,1,2,2
7671,1,2,2
7763,1,5,8.5
7798,1,4,7
7865,1,2,2
7865,1,4,5
7875,1,1,2
7878,1,2,2
7878,1,1,2
7415,2,4,6.5
7468,2,2,3
7468,2,4,5
7480,2,5,8
7498,2,4,5.75
7582,2,2,2
7582,2,5,7.5
7587,2,4,5
7648,2,5,7
7671,2,4,5.5
7763,2,4,6.5
7798,2,5,9
7865,2,2,0
7865,2,5,8
7868,2,1,1
7868,2,2,1
7878,2,4,5
7415,4,4,6
7468,4,4,6.5
7480,4,4,5
7498,4,4,6
7582,4,2,2
7587,4,2,2
7587,4,4,5.5
7648,4,4,7.5
7671,4,2,2
7671,4,4,5.5
7763,4,4,5.5
7798,4,5,8.5
7865,4,2,2
7865,4,4,7
7415,5,4,4
7437,5,5,9.5
7468,5,4,5
7480,5,2,2
7480,5,5,7
7498,5,2,2
7498,5,4,9
7648,5,2,2
7671,5,4,5
7763,5,4,7
7798,5,4,7.5
7865,5,1,2
7415,7,5,9
7468,7,4,4
7480,7,4,7
7498,7,4,5
7587,7,4,4
7648,7,2,2
7671,7,4,5
7763,7,4,8
7798,7,4,5
7415,125,4,6
7468,125,4,4.5
7480,125,4,5.5
7498,125,2,3
7498,125,4,6
7587,125,4,4
7671,125,4,5.5
7763,125,4,5.5
7798,125,5,8.5
7878,125,4,4
7415,127,5,8
7468,127,5,10
7480,127,5,9
7498,127,4,9
7582,127,5,10
7587,127,4,5
7671,127,5,7
7763,127,5,9
7798,127,5,10
7415,145,5,8
7468,145,5,8
7480,145,5,8
7498,145,4,6
7582,145,5,8
7587,145,4,6
7648,145,5,8
7763,145,5,8
7798,145,5,9
7865,145,5,7
7868,145,4,6
7878,145,5,8
7415,193,4,5.7
7468,193,4,9.3
7480,193,4,7.9
7498,193,4,8.6
7582,193,4,10
7587,193,2,2
7587,193,2,2
7648,193,4,5.7
7671,193,4,7.2
7763,193,4,7.9
7798,193,4,5.7
7865,193,4,8.5
7868,193,4,5.5
3713,1,4,6.5
7409,1,4,6.5
7425,1,5,8.5
7434,1,5,8
7441,1,5,9
7447,1,4,6
7478,1,5,8.5
7479,1,2,2
7479,1,2,2
7479,1,2,2
7479,1,1,2
7531,1,4,6.5
7597,1,5,9.5
7626,1,2,2
7661,1,5,8.5
7675,1,2,2
7675,1,4,6
7681,1,5,8
7781,1,2,2
7781,1,4,8
7789,1,5,8.5
3713,2,5,7
7409,2,5,8
7425,2,5,8
7434,2,4,6.5
7441,2,5,7.5
7447,2,4,6
7478,2,5,7.5
7479,2,4,5.5
7496,2,4,9
7597,2,5,7
7626,2,5,8
7661,2,5,8
7675,2,2,3
7675,2,2,3
7675,2,4,5
7681,2,5,8
7781,2,5,7
7789,2,5,8
3713,4,5,10
7409,4,4,8
7425,4,5,9
7434,4,5,10
7441,4,4,8
7447,4,5,9.5
7478,4,5,9.5
7479,4,2,2
7496,4,5,10
7597,4,2,2
7597,4,5,8
7626,4,2,2
7661,4,5,8.5
7675,4,4,7.5
7681,4,5,7.5
7781,4,4,7
7789,4,5,9
7409,5,4,5.5
7425,5,5,10
7434,5,5,8.5
7441,5,4,5.5
7447,5,4,8
7478,5,4,6
7531,5,1,2
7597,5,4,5.5
7661,5,4,7
7681,5,5,8
7781,5,4,8
7789,5,5,7.5
7409,7,4,8
7425,7,5,7
7434,7,5,9
7441,7,4,9
7447,7,4,7
7478,7,4,6
7479,7,4,4
7496,7,4,9
7555,7,2,2
7555,7,4,5.3
7597,7,2,2
7597,7,5,7
7626,7,4,8
7661,7,4,4
7681,7,4,5
7781,7,4,5
7789,7,5,9
7409,125,5,7.5
7425,125,5,8.5
7434,125,5,7
7441,125,4,5.5
7447,125,5,9
7478,125,4,4.5
7496,125,5,10
7597,125,4,4
7626,125,4,4
7661,125,4,4
7681,125,4,6
7781,125,2,1
7781,125,4,5.5
7789,125,5,8
3713,127,5,10
7409,127,5,10
7425,127,5,10
7434,127,5,10
7441,127,5,8
7447,127,5,10
7478,127,5,9
7496,127,5,10
7597,127,5,7
7626,127,5,7
7661,127,4,6.5
7681,127,5,7
7781,127,4,5.5
7789,127,5,8
3713,145,4,5
7409,145,5,10
7425,145,5,10
7434,145,5,10
7441,145,5,9
7447,145,5,10
7478,145,5,8
7479,145,4,6
7597,145,5,9
7626,145,5,8
7661,145,5,7
7681,145,5,10
7781,145,5,9
7789,145,5,7
7409,193,4,7.9
7425,193,4,10
7434,193,4,10
7441,193,4,5
7447,193,4,10
7478,193,4,9.3
7479,193,4,7
7496,193,4,10
7531,193,4,9.3
7555,193,4,7
7597,193,4,10
7626,193,4,7.2
7661,193,4,7.9
7675,193,4,7.2
7681,193,4,9.3
7781,193,4,7.2
7789,193,4,8.6
7459,1,4,6
7484,1,5,7.5
7494,1,4,6.5
7534,1,2,2
7534,1,2,2
7583,1,2,2
7583,1,4,5.5
7592,1,2,2
7592,1,4,7
7607,1,2,2
7607,1,4,6
7609,1,2,2
7617,1,4,7.5
7624,1,4,5.5
7628,1,2,2
7645,1,4,5
7713,1,2,2
7724,1,2,2
7724,1,2,2
7724,1,5,8
7766,1,2,2
7766,1,4,5
7867,1,2,2
7867,1,2,2
7902,1,2,2
7902,1,1,2
7459,2,5,7.5
7484,2,5,9
7494,2,5,7.5
7534,2,4,5.5
7583,2,2,1
7592,2,4,6.5
7607,2,5,7.5
7617,2,4,6
7624,2,2,3
7624,2,4,5
7628,2,4,6
7645,2,4,6
7713,2,2,1
7724,2,4,7
7766,2,4,5
7867,2,2,2
7867,2,2,1
7902,2,1,2
7459,4,4,9
7484,4,5,9.5
7494,4,4,10
7534,4,2,2
7583,4,2,2
7583,4,4,6.5
7592,4,2,2
7607,4,2,2
7607,4,1,2
7607,4,4,5.5
7617,4,4,4.5
7624,4,2,2
7624,4,4,6.5
7645,4,4,4.5
7724,4,4,7
7766,4,2,2
7766,4,4,8.5
7867,4,2,2
7867,4,1,2
7902,4,2,2
7459,5,4,5
7484,5,5,9.5
7494,5,5,8.5
7583,5,4,5
7607,5,4,6.5
7617,5,2,2
7617,5,2,2
7617,5,4,8
7624,5,4,6
7645,5,4,5.5
7766,5,2,2
7766,5,4,7.5
7459,7,2,2
7459,7,5,7.5
7484,7,5,8
7494,7,5,7
7534,7,2,2
7592,7,4,5
7607,7,4,7
7617,7,4,7
7645,7,4,7
7724,7,2,1
7724,7,2,3
7766,7,2,2
7766,7,4,7
7459,125,5,8
7484,125,5,8
7494,125,4,5
7607,125,5,8
7617,125,4,4.5
7624,125,2,1
7624,125,4,4
7645,125,4,4
7724,125,2,1
7724,125,2,1
7766,125,2,3
7766,125,2,1.25
7766,125,4,6
7459,127,5,8
7484,127,5,10
7494,127,4,6
7534,127,5,7
7607,127,4,4
7617,127,4,5
7624,127,5,7
7645,127,5,9
7766,127,5,7
7459,145,5,9
7484,145,5,10
7494,145,5,8
7534,145,4,6
7592,145,5,7
7607,145,5,9
7617,145,5,7
7624,145,5,8
7645,145,5,10
7724,145,5,8
7766,145,5,7
7867,145,4,6
7459,193,4,10
7484,193,4,10
7494,193,4,7.2
7534,193,4,9.3
7552,193,4,5
7583,193,1,2
7592,193,4,7.9
7607,193,4,10
7609,193,4,6.4
7617,193,4,7.9
7624,193,4,7.9
7628,193,4,10
7645,193,4,10
7766,193,4,8.6
7856,193,1,2
7867,193,4,6.25
7902,193,4,6
7410,1,4,4
7423,1,5,10
7430,1,2,2
7430,1,4,7
7438,1,5,8.5
7456,1,4,5
7469,1,4,6.5
7473,1,4,5.5
7490,1,2,2
7490,1,1,2
7495,1,2,2
7495,1,2,2
7495,1,4,5.5
7507,1,4,7
7600,1,4,4.5
7656,1,2,2
7660,1,4,7
7668,1,4,5
7678,1,4,7
7702,1,1,2
